id,game_id,penalty_id,period,penalty_min,penalty_sec,penalty_time,goal_member_id,"created_at","updated_at"
1,6,1,1,4,36,2,11,"2014-11-15 00:00:00","2014-11-15 00:00:00"
2,6,2,1,19,25,2,2,"2014-11-15 00:00:00","2014-11-15 00:00:00"
3,6,3,2,11,59,2,6,"2014-11-15 00:00:00","2014-11-15 00:00:00"
